2026-06-09 05:40:06 | INFO     | test | Logger initialized successfully.
2026-06-09 05:40:06 | DEBUG    | test | Debug message - visible in file, not console.
2026-06-09 05:40:06 | WARNING  | test | Warning message test.
2026-06-09 05:49:02 | INFO     | audit | Starting full endpoint audit...
2026-06-09 05:53:06 | INFO     | audit | ============================================================
2026-06-09 05:53:06 | INFO     | audit | ENDPOINT AUDIT STARTED
2026-06-09 05:53:06 | INFO     | audit | Dry-run mode : False
2026-06-09 05:53:06 | INFO     | audit | Output format: both
2026-06-09 05:53:06 | INFO     | audit | ============================================================
2026-06-09 05:53:06 | INFO     | audit | Collecting system metadata...
2026-06-09 05:53:06 | INFO     | audit |   Host: kevn | OS: Microsoft Windows 11 Home
2026-06-09 05:53:06 | INFO     | audit | Collecting processes...
2026-06-09 05:53:08 | INFO     | audit |   169 processes found.
2026-06-09 05:53:08 | INFO     | audit | Collecting services...
2026-06-09 05:53:08 | INFO     | audit |   261 services found.
2026-06-09 05:53:08 | INFO     | audit | Collecting startup registry keys...
2026-06-09 05:53:08 | INFO     | audit |   3 startup entries found.
2026-06-09 05:53:08 | INFO     | audit | Collecting local administrators...
2026-06-09 05:53:08 | INFO     | audit |   2 admin accounts found.
2026-06-09 05:53:08 | INFO     | audit | Collecting network connections...
2026-06-09 05:53:08 | INFO     | audit |   281 connections found.
2026-06-09 05:53:08 | INFO     | audit | Collecting installed software...
2026-06-09 05:53:08 | INFO     | audit |   22 programs found.
2026-06-09 05:53:08 | INFO     | audit | Running risk analysis...
2026-06-09 05:53:08 | INFO     | audit |   Risk level : CRITICAL (score=162)
2026-06-09 05:53:08 | INFO     | audit |   Top threats: 20
2026-06-09 05:53:08 | INFO     | audit | HTML report saved: C:\Projects\endpoint_audit\data/reports\audit_kevn_20260609_055308.html
2026-06-09 05:53:08 | INFO     | audit | JSON report saved: C:\Projects\endpoint_audit\data/reports\audit_kevn_20260609_055308.json
2026-06-09 05:53:08 | INFO     | audit | AUDIT COMPLETE.
2026-06-09 05:55:31 | INFO     | audit | ============================================================
2026-06-09 05:55:31 | INFO     | audit | ENDPOINT AUDIT STARTED
2026-06-09 05:55:31 | INFO     | audit | Dry-run mode : False
2026-06-09 05:55:31 | INFO     | audit | Output format: html
2026-06-09 05:55:31 | INFO     | audit | ============================================================
2026-06-09 05:55:31 | INFO     | audit | Collecting system metadata...
2026-06-09 05:55:32 | INFO     | audit |   Host: kevn | OS: Microsoft Windows 11 Home
2026-06-09 05:55:32 | INFO     | audit | Collecting processes...
2026-06-09 05:55:34 | INFO     | audit |   178 processes found.
2026-06-09 05:55:34 | INFO     | audit | Collecting services...
2026-06-09 05:55:34 | INFO     | audit |   261 services found.
2026-06-09 05:55:34 | INFO     | audit | Collecting startup registry keys...
2026-06-09 05:55:34 | INFO     | audit |   3 startup entries found.
2026-06-09 05:55:34 | INFO     | audit | Collecting local administrators...
2026-06-09 05:55:34 | INFO     | audit |   2 admin accounts found.
2026-06-09 05:55:34 | INFO     | audit | Network collection skipped (--no-network).
2026-06-09 05:55:34 | INFO     | audit | Collecting installed software...
2026-06-09 05:55:34 | INFO     | audit |   22 programs found.
2026-06-09 05:55:34 | INFO     | audit | Running risk analysis...
2026-06-09 05:55:34 | INFO     | audit |   Risk level : CRITICAL (score=74)
2026-06-09 05:55:34 | INFO     | audit |   Top threats: 15
2026-06-09 05:55:34 | INFO     | audit | HTML report saved: C:\Projects\endpoint_audit\data/reports\audit_kevn_20260609_055534.html
2026-06-09 05:55:34 | INFO     | audit | AUDIT COMPLETE.
2026-06-09 05:56:40 | INFO     | audit | ============================================================
2026-06-09 05:56:40 | INFO     | audit | ENDPOINT AUDIT STARTED
2026-06-09 05:56:40 | INFO     | audit | Dry-run mode : False
2026-06-09 05:56:40 | INFO     | audit | Output format: both
2026-06-09 05:56:40 | INFO     | audit | ============================================================
2026-06-09 05:56:40 | INFO     | audit | Collecting system metadata...
2026-06-09 05:56:40 | INFO     | audit |   Host: kevn | OS: Microsoft Windows 11 Home
2026-06-09 05:56:40 | INFO     | audit | Collecting processes...
2026-06-09 05:56:42 | INFO     | audit |   172 processes found.
2026-06-09 05:56:42 | INFO     | audit | Collecting services...
2026-06-09 05:56:42 | INFO     | audit |   261 services found.
2026-06-09 05:56:42 | INFO     | audit | Collecting startup registry keys...
2026-06-09 05:56:42 | INFO     | audit |   3 startup entries found.
2026-06-09 05:56:42 | INFO     | audit | Collecting local administrators...
2026-06-09 05:56:42 | INFO     | audit |   2 admin accounts found.
2026-06-09 05:56:42 | INFO     | audit | Collecting network connections...
2026-06-09 05:56:42 | INFO     | audit |   193 connections found.
2026-06-09 05:56:42 | INFO     | audit | Collecting installed software...
2026-06-09 05:56:42 | INFO     | audit |   22 programs found.
2026-06-09 05:56:42 | INFO     | audit | Running risk analysis...
2026-06-09 05:56:42 | INFO     | audit |   Risk level : CRITICAL (score=191)
2026-06-09 05:56:42 | INFO     | audit |   Top threats: 20
2026-06-09 05:56:42 | INFO     | audit | HTML report saved: C:\Projects\endpoint_audit\data/reports\audit_kevn_20260609_055642.html
2026-06-09 05:56:42 | INFO     | audit | JSON report saved: C:\Projects\endpoint_audit\data/reports\audit_kevn_20260609_055642.json
2026-06-09 05:56:42 | INFO     | audit | AUDIT COMPLETE.
